init_type,iters,time_total,f_final,grad_final,alpha,backtraking
12352343,1,0.006098006997490302,4261351.426495822,2075696.0474719966,6.103515625e-05,14
12352343,2,0.012456566000764724,2236853.1305553652,352370.84303606447,0.000244140625,12
12352343,3,0.01872140799969202,367371.288853736,241471.87239555415,0.000244140625,12
12352343,4,0.024555245996452868,332265.02144758427,49790.246383806916,0.0009765625,10
12352343,5,0.030694420995132532,4395.412692485283,54306.71205930046,0.00048828125,11
12352343,6,0.036866116999590304,2806.2133905668106,2071.243236925028,0.001953125,9
12352343,7,0.04307818999950541,1978.8794121398023,3063.7941640986446,0.0009765625,10
12352343,8,0.04882118599925889,1510.6240396577364,769.9965435792056,0.001953125,9
12352343,9,0.05449088299792493,1385.8396629933054,775.7397300529556,0.00390625,8
12352343,10,0.060154920000059064,1315.5158305009195,304.00901870258735,0.001953125,9
12352343,11,0.06577089599886676,911.4127797075564,420.7865823826079,0.0078125,7
12352343,12,0.07138762300019152,791.0604826286062,307.6227382471808,0.00390625,8
12352343,13,0.0770746229973156,785.7470451913804,938.9068061663173,0.0009765625,10
12352343,14,0.08275670399598312,548.1549745299901,748.8513254502169,0.0009765625,10
12352343,15,0.0884304289938882,525.6799865522846,337.21213011188837,0.001953125,9
12352343,16,0.09411010499752592,412.1425117793447,490.51245664874153,0.0009765625,10
12352343,17,0.0997542839977541,380.09608799337593,227.1603108745436,0.001953125,9
12352343,18,0.1060293959963019,338.45106293429984,301.8398696531102,0.0009765625,10
12352343,19,0.11219449000054738,322.8850002226657,160.9845774679575,0.001953125,9
12352343,20,0.11846581399731804,302.8787948527247,209.71428746254585,0.0009765625,10
12352343,21,0.12470936599856941,294.58280889070386,105.93726663921723,0.001953125,9
12352343,22,0.1309585189956124,286.2107291283737,130.26882847725855,0.0009765625,10
12352343,23,0.13724429099966073,281.92614834659173,69.0802525473398,0.00390625,8
12352343,24,0.14305536599567859,272.681605541109,140.42602728356707,0.0009765625,10
12352343,25,0.14881618499930482,269.0127748966531,48.407473453056305,0.00390625,8
12352343,26,0.15456980099406792,267.9298126996241,89.371191810437,0.001953125,9
12352343,27,0.16073077699547866,262.4474501912643,109.55494883022307,0.0009765625,10
12352343,28,0.16652745499595767,260.16162873646556,37.41680906262144,0.0078125,7
12352343,29,0.17266560699499678,256.9504492831435,120.04291484615793,0.001953125,9
12352343,30,0.17847332599922083,251.32317124571952,105.87977007546782,0.001953125,9
