init_type,iters,time_total,f_final,grad_final,alpha,backtraking
Classical,1,0.007340194999414962,71818.1038737179,36700.10569244315,0.0009765625,10
Classical,2,0.014626598996983375,4496.738715261852,18022.998076388052,0.0009765625,10
Classical,3,0.021994766997522675,2861.782647758583,1975.4081961013394,0.00390625,8
Classical,4,0.029967076996399555,1387.4745209608832,3925.4598150093484,0.0009765625,10
Classical,5,0.03634820899605984,645.3475821963053,1544.7872522052232,0.0009765625,10
Classical,6,0.04269652899529319,405.60944455770385,495.2047671135085,0.001953125,9
Classical,7,0.04838984099478694,403.61527091901416,393.35642162061794,0.00390625,8
Classical,8,0.05426519699540222,280.7229877764071,316.66911672148666,0.0078125,7
Classical,9,0.06011077699804446,204.80737716891022,325.34626592086215,0.00390625,8
Classical,10,0.06468603499524761,164.58011527775363,217.5718959876043,0.00390625,8
Classical,11,0.06969144699542085,156.5653893655391,46.34201522205463,0.0078125,7
Classical,12,0.07466388699685922,156.32421436594518,11.410922600463252,0.0078125,7
Classical,13,0.07923907499935012,156.28884895566964,7.640152502436733,0.0078125,7
Classical,14,0.08380028699320974,156.19268759241913,9.464363817357333,0.00390625,8
Classical,15,0.08913369899528334,156.15149860068112,6.279354373612347,0.00390625,8
Classical,16,0.09408474799420219,156.12201433674454,4.6883514260568955,0.00390625,8
Classical,17,0.09898324700043304,156.0973211816662,3.7503431084150987,0.00390625,8
Classical,18,0.10376324299431872,156.08959023597959,3.1780418445176926,0.0078125,7
Classical,19,0.10828554099862231,156.0572446342431,6.38210846969845,0.00390625,8
Classical,20,0.11279228999774205,156.02983896877237,5.4248341717854105,0.00390625,8
Classical,21,0.11858919799851719,156.00518444081143,4.763328626380153,0.00390625,8
Classical,22,0.12386193499696674,155.98220061698652,4.299353931425989,0.00390625,8
Classical,23,0.12879756499751238,155.96025166808616,3.9834054838530677,0.00390625,8
Classical,24,0.133786254998995,155.93901788873433,3.7703026312168033,0.00390625,8
Classical,25,0.13864467899838928,155.9182719282718,3.639445072880784,0.00390625,8
Classical,26,0.14312773299752735,155.89798088143112,3.5717558000503136,0.00390625,8
Classical,27,0.147614313995291,155.87803197988484,3.5619049623408587,0.00390625,8
Classical,28,0.15256901999964612,155.85856918467215,3.6055699453976167,0.00390625,8
Classical,29,0.15713960999710253,155.83953107495068,3.7076980021112,0.00390625,8
Classical,30,0.16182577799918363,155.82128176358475,3.8760383498710254,0.00390625,8
