init_type,iters,time_total,f_final,grad_final,alpha,backtraking,stop_reason
12352343,30,0.17847332599922083,251.32317124571952,105.87977007546782,0.001953125,9,max_iter
4235645,30,0.12646963400038658,7.14587636060554,18.603522590921607,0.0009765625,10,max_iter
678563,30,0.08065530100429896,2.764837150016388,12.847115107498563,0.0009765625,10,max_iter
